error_id,source,position_type,distribution,params,ks_statistic,ks_pvalue,low_confidence,ks_informative
orchestration_failure,trail,normalized,weibull_min,fit_failed: The data contains non-finite values.,,,False,False
orchestration_failure,trail,normalized,lognorm,fit_failed: The data contains non-finite values.,,,False,False
orchestration_failure,trail,normalized,beta,fit_failed: The data contains non-finite values.,,,False,False
orchestration_failure,trail,normalized,uniform,fit_failed: The data contains non-finite values.,,,False,False
orchestration_failure,trail,normalized,pareto,fit_failed: The data contains non-finite values.,,,False,False
orchestration_failure,trail,normalized,gamma,fit_failed: The data contains non-finite values.,,,False,False
orchestration_failure,trail,normalized,lomax,fit_failed: The data contains non-finite values.,,,False,False
resource_abuse,trail,absolute,exponential,"5.0000, 22.4500",0.126121,0.271993,True,False
resource_abuse,trail,absolute,weibull_min,"1.6551, 0.0000, 30.8587",0.100365,0.547569,True,False
resource_abuse,trail,absolute,lognorm,"0.6828, 0.0000, 22.1507",0.090461,0.676171,True,False
resource_abuse,trail,absolute,pareto,"0.6718, 0.0000, 5.0000",0.288646,6.4e-05,True,False
resource_abuse,trail,absolute,gamma,"2.4850, 0.0000, 11.0462",0.080071,0.807068,True,False
resource_abuse,trail,absolute,lomax,"25223751124542.7891, 0.0000, 692391817798650.2500",0.208424,0.009168,True,False
resource_abuse,trail,normalized,exponential,"0.1562, 0.4220",0.212534,0.007402,True,False
resource_abuse,trail,normalized,weibull_min,"3.0220, 0.0000, 0.6492",0.144042,0.150205,True,False
resource_abuse,trail,normalized,lognorm,"0.4497, 0.0000, 0.5293",0.146668,0.136756,True,False
resource_abuse,trail,normalized,beta,"1.1192, 0.7700, 0.0925, 0.8205",0.07735,0.838144,True,False
resource_abuse,trail,normalized,uniform,"0.1562, 0.7568",0.142483,0.158683,True,False
resource_abuse,trail,normalized,pareto,"0.8196, 0.0000, 0.1562",0.308906,1.4e-05,True,False
resource_abuse,trail,normalized,gamma,"5.8123, 0.0000, 0.0995",0.14852,0.127864,True,False
resource_abuse,trail,normalized,lomax,"55496794257734.0781, 0.0000, 32093552427490.0781",0.292749,4.7e-05,True,False
guardrails_triggered,magentic_one,absolute,exponential,"5.0000, 35.2083",0.083333,0.991179,True,False
guardrails_triggered,magentic_one,absolute,weibull_min,"1.2550, 0.0000, 43.4159",0.117266,0.858462,True,False
guardrails_triggered,magentic_one,absolute,lognorm,"0.8879, 0.0000, 28.1013",0.082301,0.992349,True,False
guardrails_triggered,magentic_one,absolute,pareto,"0.5792, 0.0000, 5.0000",0.299466,0.020983,True,False
guardrails_triggered,magentic_one,absolute,gamma,"1.5411, 0.0000, 26.0899",0.109943,0.903469,True,False
guardrails_triggered,magentic_one,absolute,lomax,"3942364770788.4351, 0.0000, 158515919348133.0625",0.136456,0.712729,True,False
instruction_adherence_failure,magentic_one,absolute,exponential,"5.0000, 49.3807",0.123819,0.004322,False,False
instruction_adherence_failure,magentic_one,absolute,weibull_min,"1.5290, 0.0000, 60.2471",0.065995,0.342452,False,False
instruction_adherence_failure,magentic_one,absolute,lognorm,"0.8655, 0.0000, 40.5150",0.122618,0.004863,False,False
instruction_adherence_failure,magentic_one,absolute,pareto,"0.4780, 0.0000, 5.0000",0.280409,0.0,False,False
instruction_adherence_failure,magentic_one,absolute,gamma,"1.8479, 0.0000, 29.4277",0.085861,0.10327,False,False
instruction_adherence_failure,magentic_one,absolute,lomax,"17542953888189.3047, 0.0000, 953998271626486.0000",0.126291,0.003377,False,False
intent_not_supported,magentic_one,absolute,exponential,"4.0000, 41.8182",0.196257,0.321684,True,False
